Identifier,Index,Title,Description,DimensionGroupId
H008543,32,Armenië,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",7
H008544,33,Aruba,"Nieuw land ontstaan door afscheiding van de Nederlandse Antillen op 1 januari 1986. Sinds die datum is Aruba een nieuw land binnen het Koninkrijk der Nederlanden. Met een 'Status aparte' binnen het Koninkrijk is Aruba een autonoom land. Aruba heeft een zelfstandig bestuur en is niet meer afhankelijk van Nederland. 
In de registers die het CBS gebruikt wordt dit land pas sinds de afscheiding apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de afscheiding zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de afscheiding zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot dit herkomstland gerekend als hun geboorteplaats op dat eiland ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de afscheiding zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de afscheiding zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot dit herkomstland gerekend als hun geboorteplaats op dat eiland ligt.",6
H008545,34,Australië,"Australië, Christmaseiland, Cocoseilanden, Tasmanië.",6
H008546,35,Azerbeidzjan,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend.In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",7
H008547,36,Bahama's,,6
H008548,37,Bahrein,,7
H008549,38,Bangladesh,,7
H008550,39,Barbados,,6
H008783,40,Belarus,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",3
H008552,41,België,,3
H008553,42,Belize,"Belize, Brits Honduras.",6
H008554,43,Benin,"Benin, Dahomey.",5
H008555,44,Bermuda,,6
H006997,45,Bhutan,,7
H008557,46,Bolivia,,6
