Id,Measure,ValueAttribute,Value,StringValue,Geboorteland,Geslacht,Herkomstland,Perioden
205152,M000167,None,1634.0,,T001638,T001038,H008718,2024MM06
205158,M000167,None,1909.0,,T001638,T001038,H008718,2024MM07
205164,M000167,None,1983.0,,T001638,T001038,H008718,2024MM08
205170,M000167,None,2137.0,,T001638,T001038,H008718,2024MM09
205176,M000167,None,2110.0,,T001638,T001038,H008718,2024MM10
205182,M000167,None,1707.0,,T001638,T001038,H008718,2024MM11
205188,M000167,None,1066.0,,T001638,T001038,H008718,2024MM12
205200,M000167,None,1667.0,,T001638,T001038,H008718,2025MM01
205206,M000167,None,1674.0,,T001638,T001038,H008718,2025MM02
205212,M000167,None,1651.0,,T001638,T001038,H008718,2025MM03
205218,M000167,None,1573.0,,T001638,T001038,H008718,2025MM04
205224,M000167,None,1405.0,,T001638,T001038,H008718,2025MM05
205230,M000167,None,1556.0,,T001638,T001038,H008718,2025MM06
205236,M000167,None,1545.0,,T001638,T001038,H008718,2025MM07
205242,M000167,None,1717.0,,T001638,T001038,H008718,2025MM08
205248,M000167,None,1992.0,,T001638,T001038,H008718,2025MM09
205254,M000167,None,1616.0,,T001638,T001038,H008718,2025MM10
205260,M000167,None,1542.0,,T001638,T001038,H008718,2025MM11
205266,M000167,None,1088.0,,T001638,T001038,H008718,2025MM12
205278,M000167,None,1290.0,,T001638,T001038,H008718,2026MM01
205284,M000167,None,1486.0,,T001638,T001038,H008718,2026MM02
205290,M000167,None,1476.0,,T001638,T001038,H008718,2026MM03
205296,M000167,None,1364.0,,T001638,T001038,H008718,2026MM04
205302,M000167,None,1240.0,,T001638,T001038,H008718,2026MM05
205308,M000167,None,1545.0,,T001638,T001038,H008718,2026MM06
205314,M000167,None,1378.0,,T001638,T001038,H008718,2026MM07
210276,M000167,None,783.0,,T001638,T001038,H008723,2022MM01
210282,M000167,None,910.0,,T001638,T001038,H008723,2022MM02
210288,M000167,None,1051.0,,T001638,T001038,H008723,2022MM03
210294,M000167,None,850.0,,T001638,T001038,H008723,2022MM04
210300,M000167,None,1054.0,,T001638,T001038,H008723,2022MM05
210306,M000167,None,968.0,,T001638,T001038,H008723,2022MM06
210312,M000167,None,916.0,,T001638,T001038,H008723,2022MM07
210318,M000167,None,1753.0,,T001638,T001038,H008723,2022MM08
210324,M000167,None,1827.0,,T001638,T001038,H008723,2022MM09
210330,M000167,None,1047.0,,T001638,T001038,H008723,2022MM10
210336,M000167,None,957.0,,T001638,T001038,H008723,2022MM11
210342,M000167,None,642.0,,T001638,T001038,H008723,2022MM12
210354,M000167,None,773.0,,T001638,T001038,H008723,2023MM01
210360,M000167,None,914.0,,T001638,T001038,H008723,2023MM02
210366,M000167,None,1029.0,,T001638,T001038,H008723,2023MM03
210372,M000167,None,813.0,,T001638,T001038,H008723,2023MM04
210378,M000167,None,1056.0,,T001638,T001038,H008723,2023MM05
210384,M000167,None,1051.0,,T001638,T001038,H008723,2023MM06
210390,M000167,None,819.0,,T001638,T001038,H008723,2023MM07
210396,M000167,None,1589.0,,T001638,T001038,H008723,2023MM08
210402,M000167,None,1446.0,,T001638,T001038,H008723,2023MM09
210408,M000167,None,1124.0,,T001638,T001038,H008723,2023MM10
210414,M000167,None,866.0,,T001638,T001038,H008723,2023MM11
210420,M000167,None,630.0,,T001638,T001038,H008723,2023MM12
210432,M000167,None,848.0,,T001638,T001038,H008723,2024MM01
210438,M000167,None,1059.0,,T001638,T001038,H008723,2024MM02
210444,M000167,None,1047.0,,T001638,T001038,H008723,2024MM03
210450,M000167,None,1074.0,,T001638,T001038,H008723,2024MM04
210456,M000167,None,941.0,,T001638,T001038,H008723,2024MM05
210462,M000167,None,862.0,,T001638,T001038,H008723,2024MM06
210468,M000167,None,1056.0,,T001638,T001038,H008723,2024MM07
210474,M000167,None,1419.0,,T001638,T001038,H008723,2024MM08
