Identifier,Index,Title,Description,DimensionGroupId
T001040,1,Totaal,,
1012600,2,Nederlandse achtergrond,"Persoon met een Nederlandse achtergrond

Persoon van wie de beide ouders in Nederland zijn geboren.",
2012605,3,Met migratieachtergrond,"Persoon met een migratieachtergrond

Persoon van wie ten minste één ouder in het buitenland is geboren.",
2013356,4,1e generatie migratieachtergrond,"Persoon met een eerste generatie migratieachtergrond

Persoon die in het buitenland is geboren met ten minste één in het buitenland geboren ouder.",
2013357,5,2e generatie migratieachtergrond,"Persoon met een tweede generatie migratieachtergrond

Persoon die in Nederland is geboren met ten minste één in het buitenland geboren ouder.",
