Id,Measure,ValueAttribute,Value,StringValue,Generatie,Geslacht,Migratieachtergrond,Perioden
504102,M000167,None,39.0,,T001040,T001038,H008567,2002MM02
504108,M000167,None,40.0,,T001040,T001038,H008567,2002MM03
504114,M000167,None,30.0,,T001040,T001038,H008567,2002MM04
504120,M000167,None,25.0,,T001040,T001038,H008567,2002MM05
504126,M000167,None,31.0,,T001040,T001038,H008567,2002MM06
504132,M000167,None,28.0,,T001040,T001038,H008567,2002MM07
504138,M000167,None,32.0,,T001040,T001038,H008567,2002MM08
504144,M000167,None,83.0,,T001040,T001038,H008567,2002MM09
504150,M000167,None,56.0,,T001040,T001038,H008567,2002MM10
504156,M000167,None,31.0,,T001040,T001038,H008567,2002MM11
504162,M000167,None,28.0,,T001040,T001038,H008567,2002MM12
504174,M000167,None,30.0,,T001040,T001038,H008567,2003MM01
504180,M000167,None,40.0,,T001040,T001038,H008567,2003MM02
504186,M000167,None,51.0,,T001040,T001038,H008567,2003MM03
504192,M000167,None,28.0,,T001040,T001038,H008567,2003MM04
504198,M000167,None,33.0,,T001040,T001038,H008567,2003MM05
504204,M000167,None,27.0,,T001040,T001038,H008567,2003MM06
504210,M000167,None,43.0,,T001040,T001038,H008567,2003MM07
504216,M000167,None,51.0,,T001040,T001038,H008567,2003MM08
504222,M000167,None,77.0,,T001040,T001038,H008567,2003MM09
504228,M000167,None,65.0,,T001040,T001038,H008567,2003MM10
504234,M000167,None,31.0,,T001040,T001038,H008567,2003MM11
504240,M000167,None,28.0,,T001040,T001038,H008567,2003MM12
504252,M000167,None,47.0,,T001040,T001038,H008567,2004MM01
504258,M000167,None,22.0,,T001040,T001038,H008567,2004MM02
504264,M000167,None,33.0,,T001040,T001038,H008567,2004MM03
504270,M000167,None,30.0,,T001040,T001038,H008567,2004MM04
504276,M000167,None,29.0,,T001040,T001038,H008567,2004MM05
504282,M000167,None,38.0,,T001040,T001038,H008567,2004MM06
504288,M000167,None,29.0,,T001040,T001038,H008567,2004MM07
504294,M000167,None,44.0,,T001040,T001038,H008567,2004MM08
504300,M000167,None,79.0,,T001040,T001038,H008567,2004MM09
504306,M000167,None,33.0,,T001040,T001038,H008567,2004MM10
504312,M000167,None,27.0,,T001040,T001038,H008567,2004MM11
504318,M000167,None,32.0,,T001040,T001038,H008567,2004MM12
504330,M000167,None,40.0,,T001040,T001038,H008567,2005MM01
504336,M000167,None,44.0,,T001040,T001038,H008567,2005MM02
504342,M000167,None,26.0,,T001040,T001038,H008567,2005MM03
504348,M000167,None,19.0,,T001040,T001038,H008567,2005MM04
504354,M000167,None,22.0,,T001040,T001038,H008567,2005MM05
504360,M000167,None,23.0,,T001040,T001038,H008567,2005MM06
504366,M000167,None,16.0,,T001040,T001038,H008567,2005MM07
504372,M000167,None,41.0,,T001040,T001038,H008567,2005MM08
504378,M000167,None,117.0,,T001040,T001038,H008567,2005MM09
504384,M000167,None,38.0,,T001040,T001038,H008567,2005MM10
504390,M000167,None,31.0,,T001040,T001038,H008567,2005MM11
504396,M000167,None,18.0,,T001040,T001038,H008567,2005MM12
504408,M000167,None,40.0,,T001040,T001038,H008567,2006MM01
504414,M000167,None,46.0,,T001040,T001038,H008567,2006MM02
504420,M000167,None,40.0,,T001040,T001038,H008567,2006MM03
504426,M000167,None,16.0,,T001040,T001038,H008567,2006MM04
504432,M000167,None,36.0,,T001040,T001038,H008567,2006MM05
504438,M000167,None,23.0,,T001040,T001038,H008567,2006MM06
504444,M000167,None,12.0,,T001040,T001038,H008567,2006MM07
504450,M000167,None,27.0,,T001040,T001038,H008567,2006MM08
504456,M000167,None,143.0,,T001040,T001038,H008567,2006MM09
504462,M000167,None,41.0,,T001040,T001038,H008567,2006MM10
504468,M000167,None,26.0,,T001040,T001038,H008567,2006MM11
504474,M000167,None,25.0,,T001040,T001038,H008567,2006MM12
504486,M000167,None,624.0,,T001040,T001038,H008567,2007MM01
504492,M000167,None,552.0,,T001040,T001038,H008567,2007MM02
504498,M000167,None,514.0,,T001040,T001038,H008567,2007MM03
504504,M000167,None,402.0,,T001040,T001038,H008567,2007MM04
504510,M000167,None,353.0,,T001040,T001038,H008567,2007MM05
504516,M000167,None,359.0,,T001040,T001038,H008567,2007MM06
504522,M000167,None,334.0,,T001040,T001038,H008567,2007MM07
504528,M000167,None,294.0,,T001040,T001038,H008567,2007MM08
504534,M000167,None,473.0,,T001040,T001038,H008567,2007MM09
504540,M000167,None,418.0,,T001040,T001038,H008567,2007MM10
504546,M000167,None,347.0,,T001040,T001038,H008567,2007MM11
504552,M000167,None,195.0,,T001040,T001038,H008567,2007MM12
504564,M000167,None,386.0,,T001040,T001038,H008567,2008MM01
504570,M000167,None,510.0,,T001040,T001038,H008567,2008MM02
504576,M000167,None,451.0,,T001040,T001038,H008567,2008MM03
504582,M000167,None,411.0,,T001040,T001038,H008567,2008MM04
504588,M000167,None,376.0,,T001040,T001038,H008567,2008MM05
504594,M000167,None,355.0,,T001040,T001038,H008567,2008MM06
504600,M000167,None,360.0,,T001040,T001038,H008567,2008MM07
504606,M000167,None,359.0,,T001040,T001038,H008567,2008MM08
504612,M000167,None,737.0,,T001040,T001038,H008567,2008MM09
504618,M000167,None,474.0,,T001040,T001038,H008567,2008MM10
504624,M000167,None,432.0,,T001040,T001038,H008567,2008MM11
